mRNA,CKR,HSR,FoldChange,log2FC
LOC_Os11g47600,14.8,126.5,8.069620253164556,3.0125007835691173
LOC_Os11g47680,3.0,54.3,13.825,3.7892075753473446
LOC_Os11g47820,27.4,116.2,4.126760563380282,2.0450097349175658
LOC_Os11g47860,0.0,10.4,11.4,3.5109619192773796
LOC_Os11g47900,4.4,24.8,4.777777777777778,2.2563397532597858
LOC_Os12g01750,0.0,10.2,11.2,3.4854268271702415
LOC_Os12g02210,0.0,14.2,15.2,3.925999418556223
LOC_Os12g02240,16.7,81.2,4.6440677966101696,2.2153890335986857
LOC_Os12g02700,0.8,7.3,4.611111111111112,2.2051144299046124
LOC_Os12g03040,3.2,30.5,7.5,2.9068905956085187
LOC_Os12g03110,0.0,6.6,7.6,2.925999418556223
LOC_Os12g05050,1.8,39.2,14.35714285714286,3.843696769121325
LOC_Os12g05690,0.0,8.5,9.5,3.2479275134435857
LOC_Os12g05840,12.5,71.1,5.34074074074074,2.4170398521899914
LOC_Os12g05860,6.5,41.0,5.6,2.4854268271702415
LOC_Os12g06180,3.9,46.1,9.612244897959183,3.2648734054975748
LOC_Os12g06410,3.8,64.1,13.5625,3.7615512324444795
LOC_Os12g06440,0.0,18.5,19.5,4.285402218862249
LOC_Os12g06550,0.5,6.5,5.0,2.321928094887362
LOC_Os12g07030,2.7,71.0,19.45945945945946,4.282399730700725
LOC_Os12g07580,0.0,9.4,10.4,3.37851162325373
LOC_Os12g08260,13.8,68.5,4.695945945945946,2.2314158019819197
LOC_Os12g08930,0.0,8.8,9.8,3.292781749227846
LOC_Os12g09640,5.0,51.9,8.816666666666666,3.140233316505507
LOC_Os12g10350,0.0,6.2,7.2,2.84799690655495
LOC_Os12g10750,4.1,28.1,5.7058823529411775,2.5124500009367887
LOC_Os12g10880,1.8,13.8,5.2857142857142865,2.402098443571346
LOC_Os12g10920,0.0,4.1,5.1,2.350497247084133
LOC_Os12g11830,2.1,12.3,4.290322580645161,2.1010861251143145
LOC_Os12g11840,0.0,52.9,53.9,5.752213367865143
LOC_Os12g12020,0.0,3.1,4.1,2.035623909730721
LOC_Os12g12080,0.0,9.6,10.6,3.4059923596758366
LOC_Os12g12590,0.0,6.9,7.9,2.9818526532897405
LOC_Os12g12880,12.7,119.4,8.788321167883213,3.1355875937991757
LOC_Os12g13490,0.0,11.3,12.3,3.6205864104518777
LOC_Os12g13540,0.0,6.0,7.0,2.807354922057604
LOC_Os12g15470,3.6,27.3,6.1521739130434785,2.6210962867748697
LOC_Os12g15530,0.6,153.4,96.5,6.592457037268081
LOC_Os12g15680,25.7,651.7,24.445692883895134,4.6115083922764795
LOC_Os12g16770,0.0,8.4,9.4,3.232660756790275
LOC_Os12g16870,1.1,8.9,4.714285714285714,2.237039197300849
LOC_Os12g17804,0.0,14.5,15.5,3.9541963103868754
LOC_Os12g18560,2.1,51.9,17.064516129032256,4.09292760172715
LOC_Os12g22970,0.0,14.1,15.1,3.9164766444377164
LOC_Os12g23700,3.4,32.9,7.704545454545453,2.9457098444990466
LOC_Os12g24530,2.6,38.1,10.86111111111111,3.44109979586504
LOC_Os12g25630,3.8,142.0,29.791666666666668,4.896836930944596
LOC_Os12g27930,0.0,10.9,11.9,3.572889668420581
LOC_Os12g29400,5.1,150.4,24.819672131147545,4.633412152422846
LOC_Os12g32760,3.9,42.3,8.836734693877549,3.1435133706115166
LOC_Os12g32940,3.3,17.8,4.372093023255815,2.1283240969755397
LOC_Os12g33750,0.0,8.5,9.5,3.2479275134435857
LOC_Os12g36020,0.0,3.8,4.8,2.263034405833794
LOC_Os12g37519,0.0,22.1,23.1,4.529820946528695
LOC_Os12g37690,0.0,7.0,8.0,3.0
LOC_Os12g38040,2.2,11.9,4.03125,2.011227255423254
LOC_Os12g38100,0.0,15.7,16.7,4.06177619758669
LOC_Os12g38250,6.7,33.4,4.467532467532467,2.1594782140071964
LOC_Os12g38290,62.1,262.6,4.177496038034866,2.0626384600255028
LOC_Os12g39080,13.6,59.3,4.13013698630137,2.0461896330200675
LOC_Os12g39400,8.8,99.1,10.214285714285714,3.3525164147207853
LOC_Os12g40180,33.4,171.2,5.005813953488372,2.323604672694746
LOC_Os12g40260,1.1,45.8,22.285714285714285,4.478047296804644
LOC_Os12g41110,34.1,198.6,5.686609686609686,2.5075687850326998
LOC_Os12g41530,0.0,12.7,13.7,3.776103988073164
LOC_Os12g41630,4.7,118.2,20.912280701754387,4.38627850629742
LOC_Os12g41790,0.0,3.1,4.1,2.035623909730721
LOC_Os12g42280,0.3,225.4,174.15384615384616,7.444218524690791
LOC_Os12g42410,0.0,3.9,4.9,2.292781749227846
LOC_Os12g42580,0.0,5.9,6.9,2.786596361890807
LOC_Os12g43140,0.0,7.2,8.2,3.035623909730721
LOC_Os12g43350,11.1,113.6,9.47107438016529,3.24352809148231
LOC_Os12g43380,0.0,14.8,15.8,3.9818526532897405
LOC_Os12g43390,0.0,15.4,16.4,4.035623909730721
LOC_Os12g43430,20.2,419.1,19.816037735849058,4.308596615923318
LOC_Os12g43440,3.3,17.2,4.232558139534884,2.0815298854965985
LOC_Os12g43720,0.1,9.7,9.727272727272727,3.2820353677638496
LOC_Os12g43750,5.4,31.7,5.109375,2.3531468254980825
LOC_Os12g43870,12.8,188.7,13.746376811594201,3.7809795066333063
LOC_Os12g43880,2.0,22.1,7.7,2.944858445807539
LOC_Os12g43890,2.1,74.8,24.451612903225804,4.6118577277842165
LOC_Os12g44250,6.6,35.4,4.7894736842105265,2.2598671267551107
