mRNA	CKR
LOC_Os01g54390	2.3
LOC_Os01g54400	80.4
LOC_Os01g54410	0
LOC_Os01g54420	2.9
LOC_Os01g54424	1.2
LOC_Os01g54430	0
LOC_Os01g54440	5.4
LOC_Os01g54450	4.6
LOC_Os01g54460	0.9
LOC_Os01g54480	23.7
LOC_Os01g54470	8
LOC_Os01g54490	0
LOC_Os01g54510	27
LOC_Os01g54515	4.2
LOC_Os01g54520	0.3
LOC_Os01g54530	3.7
LOC_Os01g54540	6.9
LOC_Os01g54550	8.6
LOC_Os01g54560	88.5
LOC_Os01g54570	8.6
LOC_Os01g54580	5.2
LOC_Os01g54590	4.1
LOC_Os01g54600	81.5
LOC_Os01g54610	0
LOC_Os01g54620	55
LOC_Os01g54630	0.5
LOC_Os01g54640	0
LOC_Os01g54650	0
LOC_Os01g54660	0
LOC_Os01g54670	46.2
LOC_Os01g54680	0
LOC_Os01g54690	0
LOC_Os01g54700	30.9
LOC_Os01g54714	2.1
LOC_Os01g54730	17.6
LOC_Os01g54740	0
LOC_Os01g54750	1.9
LOC_Os01g54760	0
LOC_Os01g54770	0
LOC_Os01g54784	1.3
LOC_Os01g54800	0
LOC_Os01g54810	5.6
LOC_Os01g54820	0
LOC_Os01g54830	0
LOC_Os01g54860	15
LOC_Os01g54850	15
LOC_Os01g54870	59.5
LOC_Os01g54880	6
LOC_Os01g54890	14.7
LOC_Os01g54900	2.1
LOC_Os01g54910	8.9
LOC_Os01g54920	23.1
LOC_Os01g54930	10.8
LOC_Os01g54940	6.7
LOC_Os01g54950	0.4
LOC_Os01g54960	16.3
LOC_Os01g54969	0
LOC_Os01g54980	0
LOC_Os01g54990	3.5
LOC_Os01g55000	7.8
LOC_Os01g55010	0
LOC_Os01g55020	2.9
LOC_Os01g55030	25.1
LOC_Os01g55040	13
LOC_Os01g55050	20.9
LOC_Os01g55060	3.1
LOC_Os01g55070	0.3
LOC_Os01g55080	17.4
LOC_Os01g55090	7.8
LOC_Os01g55094	2.6
LOC_Os01g55100	0
LOC_Os01g55110	60.9
LOC_Os01g55120	0
LOC_Os01g55130	0
LOC_Os01g55140	0
LOC_Os01g55150	8.1
LOC_Os01g55160	2.6
LOC_Os01g55170	12.5
LOC_Os01g55180	0
LOC_Os01g55190	2
LOC_Os01g55200	0.3
LOC_Os01g55210	0
LOC_Os01g55220	141.6
LOC_Os01g55240	12.2
LOC_Os01g55250	0
LOC_Os01g55270	3.6
LOC_Os01g55260	17.3
LOC_Os01g55280	24.5
LOC_Os01g55290	1.6
LOC_Os01g55310	2.9
LOC_Os01g55300	3.1
LOC_Os01g55320	0
LOC_Os01g55330	0
LOC_Os01g55340	25.4
LOC_Os01g55350	0.3
LOC_Os01g55360	4.4
LOC_Os01g55370	4.4
LOC_Os01g55380	0
LOC_Os01g55390	11.6
LOC_Os01g55400	0
LOC_Os01g55410	16.6
LOC_Os01g55420	2.1
LOC_Os01g55430	0
LOC_Os01g55440	0
LOC_Os01g55450	2.6
LOC_Os01g55470	0
LOC_Os01g55480	0
LOC_Os01g55490	7.2
LOC_Os01g55500	4.5
LOC_Os01g55510	50
LOC_Os01g55520	1.2
LOC_Os01g55530	6.1
LOC_Os01g55540	40.9
LOC_Os01g55549	0
LOC_Os01g55560	0
LOC_Os01g55570	2.2
LOC_Os01g55580	5.1
LOC_Os01g55600	0.4
LOC_Os01g55590	6.3
LOC_Os01g55610	0.4
LOC_Os01g55620	0
LOC_Os01g55630	0
LOC_Os01g55650	11.3
LOC_Os01g55640	0
LOC_Os01g55660	0
LOC_Os01g55670	5.1
LOC_Os01g55700	0.9
LOC_Os01g55690	0.4
LOC_Os01g55710	0
LOC_Os01g55720	33.6
LOC_Os01g55730	6.1
LOC_Os01g55740	1
LOC_Os01g55750	2.6
LOC_Os01g55770	15.3
LOC_Os01g55790	8.5
LOC_Os01g55780	5.8
LOC_Os01g55799	7.6
LOC_Os01g55795	0
LOC_Os01g55820	8.1
LOC_Os01g55830	158.8
LOC_Os01g55840	0
LOC_Os01g55850	0
LOC_Os01g55860	3.1
LOC_Os01g55870	19.5
LOC_Os01g55880	1.5
LOC_Os01g55890	4.8
LOC_Os01g55900	2.6
LOC_Os01g55910	0
LOC_Os01g55920	0
LOC_Os01g55930	0
LOC_Os01g55940	16.5
LOC_Os01g55950	1.5
LOC_Os01g55960	5.2
LOC_Os01g55974	0.4
LOC_Os01g55990	0
LOC_Os01g56010	1.5
LOC_Os01g56000	5.3
LOC_Os01g56020	6
LOC_Os01g56030	51
LOC_Os01g56040	0
LOC_Os01g56050	0
LOC_Os01g56060	0
LOC_Os01g56070	9
LOC_Os01g56080	14
LOC_Os01g56090	1.7
LOC_Os01g56100	8
LOC_Os01g56110	0
LOC_Os01g56120	0
LOC_Os01g56130	13.1
LOC_Os01g56140	27.7
LOC_Os01g56150	6.5
LOC_Os01g56160	0
LOC_Os01g56170	0
LOC_Os01g56180	14.9
LOC_Os01g56190	7.3
LOC_Os01g56200	44
LOC_Os01g56210	0.9
LOC_Os01g56220	1
LOC_Os01g56230	3.3
LOC_Os01g56235	0.8
LOC_Os01g56240	12.3
LOC_Os01g56250	0
LOC_Os01g56260	0.2
LOC_Os01g56270	0
LOC_Os01g56280	0
LOC_Os01g56290	4.4
LOC_Os01g56300	12.7
LOC_Os01g56310	6.4
LOC_Os01g56320	4.2
LOC_Os01g56330	33.5
LOC_Os01g56340	0
LOC_Os01g56360	0.4
LOC_Os01g56350	3.4
LOC_Os01g56370	0
LOC_Os01g56380	0
LOC_Os01g56390	7.4
LOC_Os01g56400	0.5
LOC_Os01g56410	0
LOC_Os01g56420	77
LOC_Os01g56430	0
LOC_Os01g56440	0
LOC_Os01g56450	27.2
LOC_Os01g56460	1.8
LOC_Os01g56470	9.6
LOC_Os01g56480	8.4
LOC_Os01g56490	3.2
LOC_Os01g56500	0
LOC_Os01g56510	3.1
LOC_Os01g56520	4.5
LOC_Os01g56530	0.8
LOC_Os01g56540	0.3
LOC_Os01g56550	7.6
LOC_Os01g56560	7.8
LOC_Os01g56570	13
LOC_Os01g56580	23
LOC_Os01g56590	2.6
LOC_Os01g56600	27.5
LOC_Os01g56610	0
LOC_Os01g56620	1.4
LOC_Os01g56640	6.4
LOC_Os01g56630	7.8
LOC_Os01g56650	0
LOC_Os01g56660	4.3
LOC_Os01g56680	26.8
LOC_Os01g56670	5.1
LOC_Os01g56690	11.7
LOC_Os01g56700	0
LOC_Os01g56710	0
LOC_Os01g56720	0
LOC_Os01g56730	0.4
LOC_Os01g56740	0
LOC_Os01g56750	0.6
LOC_Os01g56764	0.1
LOC_Os01g56780	23.8
LOC_Os01g56790	15
LOC_Os01g56800	9.1
LOC_Os01g56810	2.2
LOC_Os01g56820	4.6
LOC_Os01g56830	0
LOC_Os01g56840	0
LOC_Os01g56850	2.8
LOC_Os01g56860	3.8
LOC_Os01g56870	0.5
LOC_Os01g56880	9.7
LOC_Os01g56890	24.5
LOC_Os01g56900	9.7
LOC_Os01g56910	14.2
LOC_Os01g56930	12.4
LOC_Os01g56940	0.3
LOC_Os01g56949	0
LOC_Os01g56960	0
LOC_Os01g56969	0
LOC_Os01g56980	0.5
LOC_Os01g56990	0.7
LOC_Os01g57004	3.2
LOC_Os01g57020	0.7
LOC_Os01g57030	14
LOC_Os01g57040	12.1
LOC_Os01g57050	4.7
LOC_Os01g57066	10.7
LOC_Os01g57073	7.9
LOC_Os01g57082	0.9
LOC_Os01g57100	3.7
LOC_Os01g57110	15.7
LOC_Os01g57120	0
LOC_Os01g57130	0
LOC_Os01g57140	0
LOC_Os01g57150	1.2
LOC_Os01g57160	0
LOC_Os01g57170	0
LOC_Os01g57180	0
LOC_Os01g57190	0
LOC_Os01g57210	5.2
LOC_Os01g57230	5.3
LOC_Os01g57220	10.8
LOC_Os01g57240	13.7
LOC_Os01g57250	8.7
LOC_Os01g57260	45
LOC_Os01g57270	5.5
LOC_Os01g57280	5.9
LOC_Os01g57294	0
LOC_Os01g57310	0
LOC_Os01g57324	0
LOC_Os01g57350	2.6
LOC_Os01g57340	0.9
LOC_Os01g57360	9.5
LOC_Os01g57370	0
LOC_Os01g57380	0
LOC_Os01g57390	0
LOC_Os01g57400	0
LOC_Os01g57420	5
LOC_Os01g57410	0.5
LOC_Os01g57430	0
LOC_Os01g57440	1.3
LOC_Os01g57450	21.8
LOC_Os01g57470	29.6
LOC_Os01g57460	13.1
LOC_Os01g57480	4.2
LOC_Os01g57490	4.1
LOC_Os01g57500	0.4
LOC_Os01g57510	1.4
LOC_Os01g57520	0
LOC_Os01g57530	0
LOC_Os01g57540	22.6
LOC_Os01g57550	2.3
LOC_Os01g57560	0
LOC_Os01g57570	53
LOC_Os01g57580	3.5
LOC_Os01g57590	0
LOC_Os01g57599	0.9
LOC_Os01g57610	0.3
LOC_Os01g57620	0
LOC_Os01g57630	6
LOC_Os01g57650	0.3
LOC_Os01g57660	0
LOC_Os01g57670	0
LOC_Os01g57680	0
LOC_Os01g57690	22.2
LOC_Os01g57700	2.8
LOC_Os01g57710	2.4
LOC_Os01g57720	12
LOC_Os01g57730	49.5
LOC_Os01g57735	0.5
LOC_Os01g57740	5.7
LOC_Os01g57750	0
LOC_Os01g57760	0
LOC_Os01g57770	15.5
LOC_Os01g57780	0
LOC_Os01g57790	0
LOC_Os01g57800	0
LOC_Os01g57810	0
LOC_Os01g57830	0
LOC_Os01g57840	5.6
LOC_Os01g57854	1.1
LOC_Os01g57870	9.3
LOC_Os01g57880	6.5
LOC_Os01g57890	0.4
LOC_Os01g57900	0.7
LOC_Os01g57910	5.2
LOC_Os01g57920	0
LOC_Os01g57930	1.4
LOC_Os01g57940	0
LOC_Os01g57942	0
LOC_Os01g57945	0
LOC_Os01g57946	0
LOC_Os01g57948	0
LOC_Os01g57952	0
LOC_Os01g57954	0
LOC_Os01g57956	0
LOC_Os01g57958	0
LOC_Os01g57960	0
LOC_Os01g57962	0
LOC_Os01g57964	0
LOC_Os01g57966	0
LOC_Os01g57968	0
LOC_Os01g57990	0
LOC_Os01g58000	0
LOC_Os01g58010	0
LOC_Os01g58020	0
LOC_Os01g58022	0
LOC_Os01g58024	0
LOC_Os01g58034	0
LOC_Os01g58035	0
LOC_Os01g58036	0
LOC_Os01g58037	0
LOC_Os01g58038	0
LOC_Os01g58039	0
LOC_Os01g58049	0
LOC_Os01g58048	0
LOC_Os01g58070	0
LOC_Os01g58080	10
LOC_Os01g58100	0
LOC_Os01g58114	8.3
LOC_Os01g58130	25.6
LOC_Os01g58140	19.4
LOC_Os01g58150	9.1
LOC_Os01g58160	0
LOC_Os01g58170	0
LOC_Os01g58194	0.3
LOC_Os01g58220	7.2
LOC_Os01g58230	0
LOC_Os01g58240	22.3
LOC_Os01g58270	0.3
LOC_Os01g58280	0.2
LOC_Os01g58300	0
LOC_Os01g58290	1.3
LOC_Os01g58310	10.2
LOC_Os01g58320	40.1
LOC_Os01g58330	2.9
LOC_Os01g58335	7
LOC_Os01g58340	0
LOC_Os01g58350	0.5
LOC_Os01g58370	0
LOC_Os01g58380	21.6
LOC_Os01g58390	3
LOC_Os01g58400	2.2
LOC_Os01g58410	0
LOC_Os01g58420	41.5
LOC_Os01g58430	0
LOC_Os01g58440	5.6
LOC_Os01g58444	5.9
LOC_Os01g58450	5.2
LOC_Os01g58459	15.3
LOC_Os01g58470	1.5
LOC_Os01g58480	0.6
LOC_Os01g58490	0
LOC_Os01g58500	8.8
LOC_Os01g58510	5.6
LOC_Os01g58520	2.2
LOC_Os01g58530	2.3
LOC_Os01g58540	0
LOC_Os01g58550	13.6
LOC_Os01g58560	0
LOC_Os01g58570	0
LOC_Os01g58580	59
LOC_Os01g58590	0
LOC_Os01g58600	0
LOC_Os01g58610	0.3
LOC_Os01g58620	18.9
LOC_Os01g58630	1.8
LOC_Os01g58640	1.5
LOC_Os01g58650	0
LOC_Os01g58660	0
LOC_Os01g58670	3.9
LOC_Os01g58680	2.8
LOC_Os01g58690	0.8
LOC_Os01g58700	4.2
LOC_Os01g58710	0
LOC_Os01g58720	0
LOC_Os01g58730	1.1
LOC_Os01g58740	11.4
LOC_Os01g58750	11.5
LOC_Os01g58754	6.7
LOC_Os01g58760	1.8
LOC_Os01g58770	0
LOC_Os01g58780	4.8
LOC_Os01g58800	0
LOC_Os01g58790	4.6
LOC_Os01g58810	0
LOC_Os01g58820	0
LOC_Os01g58830	0
LOC_Os01g58850	1.4
LOC_Os01g58860	1.8
LOC_Os01g58870	98.4
LOC_Os01g58880	0
LOC_Os01g58890	95.8
LOC_Os01g58910	106.5
LOC_Os01g58920	0
LOC_Os01g58930	0
LOC_Os01g58950	0
LOC_Os01g58960	0
LOC_Os01g58970	0.9
LOC_Os01g58980	0
LOC_Os01g58990	0.5
LOC_Os01g59000	0
LOC_Os01g59009	0
LOC_Os01g59020	6.6
LOC_Os01g59030	0
LOC_Os01g59040	0
LOC_Os01g59050	9.1
LOC_Os01g59060	1.3
LOC_Os01g59070	9.8
LOC_Os01g59080	9
LOC_Os01g59090	1.7
LOC_Os01g59100	0.7
LOC_Os01g59110	0.3
LOC_Os01g59120	24.6
LOC_Os01g59130	15.2
LOC_Os01g59140	11.9
LOC_Os01g59150	85
LOC_Os01g59160	2.4
LOC_Os01g59170	0
LOC_Os01g59180	6.9
LOC_Os01g59190	0.7
LOC_Os01g59200	2.7
LOC_Os01g59210	0
LOC_Os01g59220	0
LOC_Os01g59230	0
LOC_Os01g59240	0
LOC_Os01g59250	0
LOC_Os01g59260	0
LOC_Os01g59265	3.8
LOC_Os01g59270	5
LOC_Os01g59280	0
LOC_Os01g59290	0
LOC_Os01g59300	0
LOC_Os01g59310	0
LOC_Os01g59320	5
LOC_Os01g59350	10.2
LOC_Os01g59340	8.4
LOC_Os01g59360	0
LOC_Os01g59370	0
LOC_Os01g59390	0
LOC_Os01g59400	0
LOC_Os01g59410	42.2
LOC_Os01g59420	0.7
LOC_Os01g59430	0
LOC_Os01g59440	54.6
LOC_Os01g59450	0
LOC_Os01g59460	0
LOC_Os01g59470	0
LOC_Os01g59480	0
LOC_Os01g59490	3.2
LOC_Os01g59500	9.9
LOC_Os01g59510	1.2
LOC_Os01g59520	1.3
LOC_Os01g59530	6.2
LOC_Os01g59540	0
LOC_Os01g59550	5
LOC_Os01g59560	1.5
LOC_Os01g59570	25.1
LOC_Os01g59580	2.2
LOC_Os01g59589	4.2
LOC_Os01g59600	20
LOC_Os01g59610	10
LOC_Os01g59620	4.3
LOC_Os01g59630	1.8
LOC_Os01g59640	0
LOC_Os01g59660	1.5
LOC_Os01g59670	8.7
LOC_Os01g59680	2.8
LOC_Os01g59690	45.8
LOC_Os01g59700	0
LOC_Os01g59710	0
LOC_Os01g59720	0
LOC_Os01g59730	1.8
LOC_Os01g59740	38.6
LOC_Os01g59750	3.2
LOC_Os01g59760	1.9
LOC_Os01g59770	0
LOC_Os01g59780	0.3
LOC_Os01g59800	9.3
LOC_Os01g59790	18
LOC_Os01g59819	0
LOC_Os01g59840	1.4
LOC_Os01g59850	21.7
LOC_Os01g59860	5.4
LOC_Os01g59880	2.6
LOC_Os01g59870	2.2
LOC_Os01g59900	46.6
LOC_Os01g59890	1
LOC_Os01g59910	6.7
LOC_Os01g59920	0.7
LOC_Os01g59930	18.6
LOC_Os01g59940	0
LOC_Os01g59950	11.1
LOC_Os01g59970	13.7
LOC_Os01g59980	8.3
LOC_Os01g59990	55.9
LOC_Os01g60000	1
LOC_Os01g60010	2.5
LOC_Os01g60020	23.5
LOC_Os01g60040	16.2
LOC_Os01g60050	0
LOC_Os01g60060	9.1
LOC_Os01g60070	4
LOC_Os01g60080	0
LOC_Os01g60090	0
LOC_Os01g60100	0
LOC_Os01g60110	7.4
LOC_Os01g60120	2.5
LOC_Os01g60130	0
LOC_Os01g60140	0
LOC_Os01g60150	0
LOC_Os01g60160	0
LOC_Os01g60170	3.7
LOC_Os01g60180	0
LOC_Os01g60190	70
LOC_Os01g60200	16
LOC_Os01g60210	0
LOC_Os01g60220	0
LOC_Os01g60230	19.7
LOC_Os01g60250	2.5
LOC_Os01g60260	3.2
LOC_Os01g60270	7.8
LOC_Os01g60280	14.3
LOC_Os01g60290	0.5
LOC_Os01g60309	6.1
LOC_Os01g60330	9.7
LOC_Os01g60340	0.4
LOC_Os01g60350	0.9
LOC_Os01g60360	0.5
LOC_Os01g60369	0
LOC_Os01g60380	0
LOC_Os01g60389	0
LOC_Os01g60400	0
LOC_Os01g60410	32.2
LOC_Os01g60420	21.8
LOC_Os01g60430	1.4
LOC_Os01g60440	11.7
LOC_Os01g60450	0
LOC_Os01g60460	0
LOC_Os01g60470	0
LOC_Os01g60480	0
LOC_Os01g60490	0
LOC_Os01g60500	0
LOC_Os01g60510	0
LOC_Os01g60520	0.1
LOC_Os01g60530	13
LOC_Os01g60540	1.9
LOC_Os01g60549	0
LOC_Os01g60560	0
LOC_Os01g60569	0
LOC_Os01g60580	0
LOC_Os01g60590	0
LOC_Os01g60600	4.7
LOC_Os01g60610	0
LOC_Os01g60620	0
LOC_Os01g60630	0
LOC_Os01g60650	9.4
LOC_Os01g60640	13.6
LOC_Os01g60660	9.1
LOC_Os01g60670	5.7
LOC_Os01g60680	0.2
LOC_Os01g60690	1.6
LOC_Os01g60700	12.9
LOC_Os01g60710	0
LOC_Os01g60720	0
LOC_Os01g60730	3.1
LOC_Os01g60740	0.8
LOC_Os01g60750	0
LOC_Os01g60760	0
LOC_Os01g60770	17.8
LOC_Os01g60780	1.7
LOC_Os01g60790	44.9
LOC_Os01g60800	1.5
LOC_Os01g60810	6.9
LOC_Os01g60820	0
LOC_Os01g60850	0.7
LOC_Os01g60830	0
LOC_Os01g60860	38.1
LOC_Os01g60870	8.3
LOC_Os01g60880	0
LOC_Os01g60890	0
LOC_Os01g60900	0
LOC_Os01g60910	5
LOC_Os01g60920	2
LOC_Os01g60930	17.4
LOC_Os01g60940	0.8
LOC_Os01g60960	2.2
LOC_Os01g60970	0
LOC_Os01g60980	0
LOC_Os01g60990	0
LOC_Os01g61000	0
LOC_Os01g61010	0.8
LOC_Os01g61020	0
LOC_Os01g61030	8.2
LOC_Os01g61044	6.3
LOC_Os01g61060	7.2
LOC_Os01g61070	0
LOC_Os01g61080	91.3
LOC_Os01g61090	0
LOC_Os01g61100	0
LOC_Os01g61110	1.5
LOC_Os01g61120	5.8
LOC_Os01g61130	0
LOC_Os01g61140	0
LOC_Os01g61150	4.1
LOC_Os01g61160	14.3
LOC_Os01g61170	3.7
LOC_Os01g61180	14.3
LOC_Os01g61200	4
LOC_Os01g61190	6.6
LOC_Os01g61210	1.3
LOC_Os01g61220	0
LOC_Os01g61230	3.3
LOC_Os01g61240	0.4
LOC_Os01g61250	1.7
LOC_Os01g61260	0
LOC_Os01g61270	0
LOC_Os01g61290	0
LOC_Os01g61300	0
LOC_Os01g61310	0
LOC_Os01g61320	2.3
LOC_Os01g61330	0.8
LOC_Os01g61335	0
LOC_Os01g61340	0
LOC_Os01g61350	3.3
LOC_Os01g61360	0
LOC_Os01g61370	0
LOC_Os01g61380	22.8
LOC_Os01g61390	0.8
LOC_Os01g61400	17
LOC_Os01g61410	6.3
LOC_Os01g61420	11.2
LOC_Os01g61430	2.5
LOC_Os01g61440	23.8
LOC_Os01g61450	0
LOC_Os01g61460	31.9
LOC_Os01g61470	0
LOC_Os01g61480	0
LOC_Os01g61490	0
LOC_Os01g61500	14.2
LOC_Os01g61510	15.6
LOC_Os01g61520	0
LOC_Os01g61530	0
LOC_Os01g61540	0
LOC_Os01g61550	4.3
LOC_Os01g61560	3.3
LOC_Os01g61570	0.4
LOC_Os01g61580	14.8
LOC_Os01g61590	13.4
LOC_Os01g61610	3.7
LOC_Os01g61620	5.9
LOC_Os01g61630	0.7
LOC_Os01g61640	9.4
LOC_Os01g61650	0
LOC_Os01g61660	0
LOC_Os01g61670	26.8
LOC_Os01g61680	10.2
LOC_Os01g61690	5.7
LOC_Os01g61700	0
LOC_Os01g61710	6.2
LOC_Os01g61720	27.2
LOC_Os01g61730	0
LOC_Os01g61739	0
LOC_Os01g61760	7.9
LOC_Os01g61750	4.5
LOC_Os01g61780	9.5
LOC_Os01g61800	0
LOC_Os01g61810	6.1
LOC_Os01g61814	7.5
LOC_Os01g61830	8.9
LOC_Os01g61840	7
LOC_Os01g61850	132.7
LOC_Os01g61860	10.9
LOC_Os01g61870	0
LOC_Os01g61890	22.1
LOC_Os01g61880	16.9
LOC_Os01g61900	5.1
LOC_Os01g61910	2.9
LOC_Os01g61920	72.3
LOC_Os01g61930	4.4
LOC_Os01g61940	3.9
LOC_Os01g61950	0
LOC_Os01g61960	0
LOC_Os01g61970	90.2
LOC_Os01g61980	1.8
LOC_Os01g61990	17.7
LOC_Os01g62000	0
LOC_Os01g62010	1.8
LOC_Os01g62020	26.6
LOC_Os01g62030	10.2
LOC_Os01g62040	4.5
LOC_Os01g62050	0
LOC_Os01g62060	0
LOC_Os01g62070	18.2
LOC_Os01g62080	9.2
LOC_Os01g62090	0
LOC_Os01g62100	0.4
LOC_Os01g62110	52.5
LOC_Os01g62120	13.4
LOC_Os01g62130	11.7
LOC_Os01g62140	0
LOC_Os01g62160	3.3
LOC_Os01g62150	3.2
LOC_Os01g62170	0
LOC_Os01g62180	0.9
LOC_Os01g62190	13.5
LOC_Os01g62200	0.6
LOC_Os01g62210	6.1
LOC_Os01g62220	0
LOC_Os01g62230	135
LOC_Os01g62244	10.4
LOC_Os01g62260	60.6
LOC_Os01g62280	0
LOC_Os01g62290	4.8
LOC_Os01g62300	44.7
LOC_Os01g62310	0
LOC_Os01g62320	0
LOC_Os01g62330	0
LOC_Os01g62340	0
LOC_Os01g62350	15.6
LOC_Os01g62360	9.8
LOC_Os01g62370	33.5
LOC_Os01g62380	3.6
LOC_Os01g62390	5.1
LOC_Os01g62400	0
LOC_Os01g62410	6.9
LOC_Os01g62420	16.9
LOC_Os01g62430	65.2
LOC_Os01g62440	2.1
LOC_Os01g62450	0
LOC_Os01g62460	89.7
LOC_Os01g62469	0
LOC_Os01g62480	2.8
LOC_Os01g62490	28.2
LOC_Os01g62500	1.2
LOC_Os01g62510	0
LOC_Os01g62514	0
LOC_Os01g62520	0
LOC_Os01g62530	0
LOC_Os01g62540	0
LOC_Os01g62550	0
LOC_Os01g62560	0
LOC_Os01g62570	0
LOC_Os01g62584	2.7
LOC_Os01g62600	5.6
LOC_Os01g62605	1.2
LOC_Os01g62610	0
LOC_Os01g62620	6.2
LOC_Os01g62630	12
LOC_Os01g62640	0
LOC_Os01g62650	16.2
LOC_Os01g62660	5.5
LOC_Os01g62670	28.8
LOC_Os01g62680	0
LOC_Os01g62690	0
LOC_Os01g62700	0
LOC_Os01g62710	0
LOC_Os01g62720	0
LOC_Os01g62730	0
LOC_Os01g62740	0
LOC_Os01g62750	0.3
LOC_Os01g62760	22.7
LOC_Os01g62770	1.2
LOC_Os01g62780	6
LOC_Os01g62790	2.6
LOC_Os01g62800	3.5
LOC_Os01g62810	3.6
LOC_Os01g62820	15
LOC_Os01g62830	8.2
LOC_Os01g62840	11.1
LOC_Os01g62850	10.4
LOC_Os01g62860	2.3
LOC_Os01g62870	6.9
LOC_Os01g62890	6.4
LOC_Os01g62880	8.9
LOC_Os01g62910	1.9
LOC_Os01g62900	1.9
LOC_Os01g62920	6.4
LOC_Os01g62945	0
LOC_Os01g62950	8.3
LOC_Os01g62960	0
LOC_Os01g62980	1.3
LOC_Os01g62970	0.6
LOC_Os01g62990	0.8
LOC_Os01g63010	0.4
LOC_Os01g63020	0
LOC_Os01g63030	0
LOC_Os01g63040	0
LOC_Os01g63050	4.6
LOC_Os01g63060	8.9
LOC_Os01g63080	0
LOC_Os01g63090	0
LOC_Os01g63100	0
LOC_Os01g63110	0
LOC_Os01g63120	0
LOC_Os01g63130	0
LOC_Os01g63140	0
LOC_Os01g63150	0.4
LOC_Os01g63160	5.2
LOC_Os01g63170	0
LOC_Os01g63180	9.2
LOC_Os01g63190	22.2
LOC_Os01g63200	26.1
LOC_Os01g63210	80.1
LOC_Os01g63230	6.8
LOC_Os01g63220	6
LOC_Os01g63240	0.5
LOC_Os01g63250	5.6
LOC_Os01g63260	27.9
LOC_Os01g63270	3.7
LOC_Os01g63280	11.4
LOC_Os01g63290	2.9
LOC_Os01g63310	5.5
LOC_Os01g63320	0
LOC_Os01g63330	0
LOC_Os01g63340	0
LOC_Os01g63354	5.1
LOC_Os01g63370	0
LOC_Os01g63380	0
LOC_Os01g63393	0
LOC_Os01g63410	13.2
LOC_Os01g63400	9.7
LOC_Os01g63430	0
LOC_Os01g63420	21.8
LOC_Os01g63444	0.8
LOC_Os01g63460	15.4
LOC_Os01g63470	44.9
LOC_Os01g63480	20.2
LOC_Os01g63490	0
LOC_Os01g63500	0
LOC_Os01g63510	2.6
LOC_Os01g63520	0
LOC_Os01g63530	0
LOC_Os01g63540	13.8
LOC_Os01g63550	0
LOC_Os01g63560	0
LOC_Os01g63570	0
LOC_Os01g63580	10
LOC_Os01g63600	0
LOC_Os01g63610	0
LOC_Os01g63620	1.5
LOC_Os01g63630	0
LOC_Os01g63640	0
LOC_Os01g63650	0
LOC_Os01g63660	0
LOC_Os01g63670	0
LOC_Os01g63680	0
LOC_Os01g63690	91
LOC_Os01g63710	2.2
LOC_Os01g63720	0
LOC_Os01g63730	0
LOC_Os01g63740	0
LOC_Os01g63750	0
LOC_Os01g63760	0
LOC_Os01g63770	22.9
LOC_Os01g63780	2.1
LOC_Os01g63790	13.7
LOC_Os01g63800	33.5
LOC_Os01g63820	8.8
LOC_Os01g63810	6.3
LOC_Os01g63830	2.1
LOC_Os01g63840	2.3
LOC_Os01g63854	11.7
LOC_Os01g63870	1.7
LOC_Os01g63880	2.9
LOC_Os01g63890	2.3
LOC_Os01g63900	2.4
LOC_Os01g63910	1
LOC_Os01g63920	0
LOC_Os01g63930	2.2
LOC_Os01g63940	6.6
LOC_Os01g63950	5.5
LOC_Os01g63960	0
LOC_Os01g63970	23.6
LOC_Os01g63980	0.7
LOC_Os01g63990	5.6
LOC_Os01g64000	1.7
LOC_Os01g64020	23
LOC_Os01g64010	16.1
LOC_Os01g64030	5.5
LOC_Os01g64040	0
LOC_Os01g64050	0
LOC_Os01g64060	0
LOC_Os01g64070	0
LOC_Os01g64080	0
LOC_Os01g64090	15.4
LOC_Os01g64100	8.5
LOC_Os01g64110	120.4
LOC_Os01g64120	138.1
LOC_Os01g64130	0
LOC_Os01g64140	1.5
LOC_Os01g64150	0
LOC_Os01g64160	0
LOC_Os01g64170	10
LOC_Os01g64180	10.6
LOC_Os01g64190	12.2
LOC_Os01g64200	0
LOC_Os01g64210	0
LOC_Os01g64220	0
LOC_Os01g64230	0.6
LOC_Os01g64240	0
LOC_Os01g64250	13.7
LOC_Os01g64256	5.3
LOC_Os01g64262	6.4
LOC_Os01g64280	10.5
LOC_Os01g64270	14.3
LOC_Os01g64290	2.6
LOC_Os01g64300	12.2
LOC_Os01g64310	16.2
LOC_Os01g64320	0
LOC_Os01g64330	0.6
LOC_Os01g64340	18.6
LOC_Os01g64350	3
LOC_Os01g64360	11.4
LOC_Os01g64370	4.5
LOC_Os01g64380	0
LOC_Os01g64390	0
LOC_Os01g64400	0
LOC_Os01g64410	0
LOC_Os01g64420	0
LOC_Os01g64430	4.7
LOC_Os01g64440	3.1
LOC_Os01g64450	0
LOC_Os01g64460	0
LOC_Os01g64470	39.6
LOC_Os01g64480	0
LOC_Os01g64490	34.2
LOC_Os01g64500	0
LOC_Os01g64510	0
LOC_Os01g64520	25.5
LOC_Os01g64530	0
LOC_Os01g64540	6.2
LOC_Os01g64550	0
LOC_Os01g64560	2.8
LOC_Os01g64570	13.7
LOC_Os01g64580	0
LOC_Os01g64590	0
